事件编号,路径编号,车型,路径
E1,70,fuel_1500,0 -> 65_2 -> 0
E1,71,fuel_1500,0 -> 40_2 -> 0
E1,72,fuel_1500,0 -> 48_2 -> 0
E1,73,fuel_1500,0 -> 60_6 -> 0
E1,74,ev_1250,0 -> 27_3 -> 0
E1,75,fuel_1500,0 -> 62_6 -> 0
E1,76,ev_3000,0 -> 8_6 -> 70_3 -> 0
E1,77,fuel_1250,0 -> 28_3 -> 0
E1,78,fuel_1500,0 -> 54_4 -> 0
E1,79,fuel_1500,0 -> 43_1 -> 0
E1,80,fuel_3000,0 -> 73_1 -> 8_7 -> 0
E1,81,fuel_3000,0 -> 65_4 -> 72_1 -> 0
E1,82,fuel_1500,0 -> 63_5 -> 0
E1,83,ev_1250,0 -> 69_2 -> 0
E1,84,fuel_1500,0 -> 53_2 -> 0
E1,85,fuel_3000,0 -> 66_2 -> 6_3 -> 0
E1,86,fuel_1250,0 -> 16_1 -> 35_1 -> 0
E1,87,fuel_1250,0 -> 51_1 -> 0
E1,88,fuel_1500,0 -> 6_1 -> 0
E1,89,fuel_1500,0 -> 8_3 -> 0
E1,90,fuel_3000,0 -> 57_4 -> 7_4 -> 0
E1,91,fuel_3000,0 -> 59_3 -> 55_7 -> 0
E1,92,fuel_1500,0 -> 50_3 -> 0
E1,93,ev_1250,0 -> 44_2 -> 0
E1,94,fuel_3000,0 -> 12_2 -> 31_2 -> 0
E1,95,fuel_3000,0 -> 31_1 -> 54_3 -> 0
E1,96,fuel_3000,0 -> 36_3 -> 55_8 -> 0
E1,97,fuel_3000,0 -> 64_4 -> 44_1 -> 0
E1,98,fuel_3000,0 -> 64_3 -> 75_1 -> 0
E1,99,fuel_3000,0 -> 87_1 -> 70_1 -> 10_2 -> 0
E1,100,fuel_3000,0 -> 56_2 -> 58_1 -> 0
E1,101,ev_1250,0 -> 44_3 -> 0
E1,102,fuel_1500,0
E1,103,fuel_1500,0 -> 81_1 -> 0
E1,104,fuel_1500,0 -> 57_3 -> 0
E1,105,ev_1250,0 -> 75_3 -> 0
E1,106,fuel_1500,0 -> 7_3 -> 0
E1,107,fuel_1500,0 -> 59_6 -> 0
E1,108,fuel_1500,0 -> 57_5 -> 0
E1,109,fuel_3000,0 -> 83_1 -> 55_2 -> 0
E1,110,fuel_1500,0 -> 60_7 -> 0
E1,111,fuel_3000,0 -> 38_1 -> 82_1 -> 0
E1,112,fuel_3000,0 -> 39_2 -> 31_3 -> 0
E1,113,fuel_1500,0 -> 60_3 -> 0
E1,114,fuel_3000,0 -> 64_2 -> 64_5 -> 0
E1,115,fuel_1500,0 -> 31_5 -> 0
E1,116,ev_1250,0 -> 46_2 -> 0
E1,117,ev_1250,0 -> 71_3 -> 0
E1,118,fuel_1500,0 -> 50_1 -> 0
E1,119,ev_1250,0 -> 79_1 -> 0
E1,120,fuel_1500,0 -> 53_1 -> 0
E1,121,fuel_3000,0 -> 74_1 -> 64_6 -> 0
E1,122,fuel_3000,0 -> 41_2 -> 65_3 -> 0
E1,123,fuel_3000,0 -> 74_3 -> 56_5 -> 0
E1,124,fuel_1250,0 -> 71_2 -> 0
E1,125,fuel_1500,0 -> 56_1 -> 0
E1,126,fuel_1500,0 -> 62_4 -> 0
E1,127,fuel_1500,0 -> 42_3 -> 0
E1,128,fuel_1500,0 -> 25_1 -> 0
E1,129,ev_3000,0 -> 45_3 -> 68_5 -> 0
E1,130,fuel_3000,0 -> 63_3 -> 63_4 -> 0
E1,131,fuel_1500,0 -> 65_1 -> 0
E1,132,fuel_1500,0 -> 7_2 -> 0
E1,133,fuel_1500,0 -> 11_1 -> 0
E1,134,fuel_3000,0 -> 8_1 -> 54_2 -> 0
E1,135,fuel_1500,0 -> 62_3 -> 0
E1,136,fuel_1500,0 -> 61_2 -> 0
E1,137,fuel_1500,0 -> 68_2 -> 0
E1,138,fuel_1500,0 -> 56_4 -> 0
E1,139,fuel_1500,0 -> 25_2 -> 0
E1,140,fuel_1500,0 -> 68_4 -> 0
E1,141,fuel_1500,0 -> 62_2 -> 0
E2,1,fuel_1500,0 -> 6_2 -> 0
E2,2,fuel_1500,0 -> 54_5 -> 0
E2,3,fuel_1500,0 -> 64_1 -> 0
E2,4,fuel_1500,0 -> 59_1 -> 0
E2,5,fuel_1500,0 -> 59_2 -> 0
E2,6,fuel_1500,0 -> 62_5 -> 0
E2,7,fuel_3000,0 -> 45_1 -> 45_2 -> 0
E2,8,fuel_3000,0 -> 43_3 -> 43_2 -> 0
E2,9,fuel_3000,0 -> 48_4 -> 68_3 -> 0
E2,10,fuel_3000,0 -> 60_1 -> 49_3 -> 0
E2,11,fuel_3000,0 -> 74_2 -> 84_1 -> 12_1 -> 2_1 -> 0
E2,12,ev_3000,0 -> 88_1 -> 55_3 -> 68_1 -> 0
E2,13,fuel_3000,0 -> 60_5 -> 72_2 -> 0
E2,14,fuel_3000,0 -> 63_6 -> 48_3 -> 0
E2,15,fuel_3000,0 -> 53_3 -> 28_2 -> 0
E2,16,fuel_3000,0 -> 43_4 -> 50_5 -> 0
E2,17,fuel_3000,0 -> 85_1 -> 61_1 -> 75_2 -> 0
E2,18,fuel_3000,0
E2,19,fuel_3000,0 -> 8_4 -> 49_1 -> 52_3 -> 52_4 -> 52_2 -> NEW_52 -> 52_1 -> 26_1 -> 31_4 -> 67_2 -> 0
E2,20,ev_3000,0 -> 8_8 -> 8_2 -> 0
E2,21,fuel_3000,0 -> 53_4 -> 78_2 -> 0
E2,22,fuel_3000,0 -> 57_2 -> 50_6 -> 0
E2,23,fuel_3000,0 -> 61_3 -> 63_1 -> 0
E2,24,fuel_3000,0 -> 42_5 -> 52_5 -> 0
E2,25,fuel_3000,0 -> 7_1 -> 55_4 -> 0
E2,26,fuel_3000,0 -> 76_1 -> 70_2 -> 94_1 -> 0
E2,27,fuel_3000,0
E2,28,ev_3000,0 -> 9_2 -> 39_3 -> 0
E2,29,fuel_3000,0 -> 57_1 -> 51_3 -> 0
E2,30,fuel_3000,0 -> 9_1 -> 45_4 -> 0
E2,31,fuel_1250,0 -> 36_1 -> 0
E2,32,fuel_1250,0 -> 36_2 -> 0
E2,33,fuel_1250,0 -> 3_1 -> 78_1 -> 0
E2,34,ev_3000,0 -> 37_1 -> 46_3 -> 27_2 -> 0
E2,35,ev_3000,0 -> 13_1 -> 69_1 -> 10_1 -> 0
E2,36,ev_3000,0 -> 63_2 -> 84_2 -> 80_1 -> 0
E2,37,fuel_3000,0 -> 42_1 -> 58_2 -> 0
E2,38,fuel_3000,0 -> 48_5 -> 4_1 -> 0
E2,39,ev_1250,0 -> 51_2 -> 0
E2,40,ev_1250,0 -> 71_1 -> 0
E2,41,fuel_3000,0 -> 92_2 -> 92_1 -> 89_1 -> 40_1 -> 0
E2,42,fuel_3000,0 -> 70_4 -> 77_2 -> 34_1 -> 0
E2,43,fuel_3000,0 -> 66_1 -> 79_2 -> 30_1 -> 0
E2,44,fuel_3000,0 -> 91_1 -> 77_1 -> 10_3 -> 0
E2,45,fuel_3000,0 -> 42_4 -> 32_1 -> 61_4 -> 0
E2,46,fuel_3000,0 -> 33_1 -> 27_1 -> 50_4 -> 0
E2,47,fuel_3000,0 -> 60_4 -> 65_5 -> 0
E2,48,fuel_3000,0 -> 41_1 -> 7_5 -> 0
E2,49,fuel_3000,0 -> 48_6 -> 55_6 -> 0
E2,50,fuel_3000,0 -> 44_4 -> 53_5 -> 0
E2,51,fuel_3000,0 -> 62_1 -> 50_2 -> 0
E2,52,fuel_3000,0 -> 60_2 -> 54_1 -> 0
E2,53,fuel_1500,0 -> 48_1 -> 0
E2,54,fuel_1500,0 -> 47_1 -> 0
E2,55,ev_1250,0 -> 35_2 -> 0
E2,56,ev_1250,0 -> 61_5 -> 0
E2,57,ev_3000,0 -> 86_1 -> 59_4 -> 90_1 -> 95_1 -> 19_1 -> 98_1 -> 5_1 -> 0
E2,58,fuel_1500,0 -> 42_2 -> 0
E2,59,ev_3000,0
E2,60,fuel_3000,0 -> 59_5 -> 93_1 -> 56_3 -> 0
E2,61,ev_1250,0 -> 29_1 -> 0
E2,62,fuel_3000,0 -> 24_1 -> 67_1 -> 0
E2,63,fuel_3000,0 -> 49_2 -> 55_9 -> 0
E2,64,fuel_3000,0 -> 55_1 -> 55_5 -> 0
E2,65,fuel_1500,0 -> 73_2 -> 0
E2,66,ev_1250,0 -> 46_1 -> 0
E2,67,ev_1250,0 -> 97_1 -> 28_1 -> 0
E2,68,fuel_1500,0 -> 8_5 -> 0
E2,69,fuel_1500,0 -> 39_1 -> 0
E2,70,fuel_1500,0 -> 65_2 -> 0
E2,71,fuel_1500,0 -> 40_2 -> 0
E2,72,fuel_1500,0 -> 48_2 -> 0
E2,73,fuel_1500,0 -> 60_6 -> 0
E2,74,ev_1250,0 -> 27_3 -> 0
E2,75,fuel_1500,0 -> 62_6 -> 0
E2,76,ev_3000,0 -> 8_6 -> 70_3 -> 0
E2,77,fuel_1250,0 -> 28_3 -> 0
E2,78,fuel_1500,0 -> 54_4 -> 0
E2,79,fuel_1500,0 -> 43_1 -> 0
E2,80,fuel_3000,0 -> 73_1 -> 8_7 -> 0
E2,81,fuel_3000,0 -> 65_4 -> 72_1 -> 0
E2,82,fuel_1500,0 -> 63_5 -> 0
E2,83,ev_1250,0 -> 69_2 -> 0
E2,84,fuel_1500,0 -> 53_2 -> 0
E2,85,fuel_3000,0 -> 66_2 -> 6_3 -> 0
E2,86,fuel_1250,0 -> 16_1 -> 35_1 -> 0
E2,87,fuel_1250,0 -> 51_1 -> 0
E2,88,fuel_1500,0 -> 6_1 -> 0
E2,89,fuel_1500,0 -> 8_3 -> 0
E2,90,fuel_3000,0 -> 57_4 -> 7_4 -> 0
E2,91,fuel_3000,0 -> 59_3 -> 55_7 -> 0
E2,92,fuel_1500,0 -> 50_3 -> 0
E2,93,ev_1250,0 -> 44_2 -> 0
E2,94,fuel_3000,0 -> 12_2 -> 31_2 -> 0
E2,95,fuel_3000,0 -> 31_1 -> 54_3 -> 0
E2,96,fuel_3000,0 -> 36_3 -> 55_8 -> 0
E2,97,fuel_3000,0 -> 64_4 -> 44_1 -> 0
E2,98,fuel_3000,0 -> 64_3 -> 75_1 -> 0
E2,99,fuel_3000,0 -> 87_1 -> 70_1 -> 10_2 -> 0
E2,100,fuel_3000,0 -> 56_2 -> 58_1 -> 0
E2,101,ev_1250,0 -> 44_3 -> 0
E2,102,fuel_1500,0 -> 47_2 -> 0
E2,103,fuel_1500,0 -> 81_1 -> 0
E2,104,fuel_1500,0 -> 57_3 -> 0
E2,105,ev_1250,0 -> 75_3 -> 0
E2,106,fuel_1500,0 -> 7_3 -> 0
E2,107,fuel_1500,0 -> 59_6 -> 0
E2,108,fuel_1500,0 -> 57_5 -> 0
E2,109,fuel_3000,0 -> 83_1 -> 55_2 -> 0
E2,110,fuel_1500,0 -> 60_7 -> 0
E2,111,fuel_3000,0 -> 38_1 -> 82_1 -> 0
E2,112,fuel_3000,0 -> 39_2 -> 31_3 -> 0
E2,113,fuel_1500,0 -> 60_3 -> 0
E2,114,fuel_3000,0 -> 64_2 -> 64_5 -> 0
E2,115,fuel_1500,0 -> 31_5 -> 0
E2,116,ev_1250,0 -> 46_2 -> 0
E2,117,ev_1250,0 -> 71_3 -> 0
E2,118,fuel_1500,0 -> 50_1 -> 0
E2,119,ev_1250,0 -> 79_1 -> 0
E2,120,fuel_1500,0 -> 53_1 -> 0
E2,121,fuel_3000,0 -> 74_1 -> 64_6 -> 0
E2,122,fuel_3000,0 -> 41_2 -> 65_3 -> 0
E2,123,fuel_3000,0 -> 74_3 -> 56_5 -> 0
E2,124,fuel_1250,0 -> 71_2 -> 0
E2,125,fuel_1500,0 -> 56_1 -> 0
E2,126,fuel_1500,0 -> 62_4 -> 0
E2,127,fuel_1500,0 -> 42_3 -> 0
E2,128,fuel_1500,0 -> 25_1 -> 0
E2,129,ev_3000,0 -> 45_3 -> 68_5 -> 0
E2,130,fuel_3000,0 -> 63_3 -> 63_4 -> 0
E2,131,fuel_1500,0 -> 65_1 -> 0
E2,132,fuel_1500,0 -> 7_2 -> 0
E2,133,fuel_1500,0 -> 11_1 -> 0
E2,134,fuel_3000,0 -> 8_1 -> 54_2 -> 0
E2,135,fuel_1500,0 -> 62_3 -> 0
E2,136,fuel_1500,0 -> 61_2 -> 0
E2,137,fuel_1500,0 -> 68_2 -> 0
E2,138,fuel_1500,0 -> 56_4 -> 0
E2,139,fuel_1500,0 -> 25_2 -> 0
E2,140,fuel_1500,0 -> 68_4 -> 0
E2,141,fuel_1500,0 -> 62_2 -> 0
E3,1,fuel_1500,0 -> 6_2 -> 0
E3,2,fuel_1500,0 -> 54_5 -> 0
E3,3,fuel_1500,0
E3,4,fuel_1500,0 -> 59_1 -> 0
E3,5,fuel_1500,0 -> 59_2 -> 0
E3,6,fuel_1500,0 -> 62_5 -> 0
E3,7,fuel_3000,0 -> 45_1 -> 45_2 -> 0
E3,8,fuel_3000,0 -> 43_3 -> 43_2 -> 0
E3,9,fuel_3000,0 -> 48_4 -> 68_3 -> 0
E3,10,fuel_3000,0 -> 60_1 -> 49_3 -> 0
E3,11,fuel_3000,0 -> 74_2 -> 84_1 -> 12_1 -> 2_1 -> 0
E3,12,ev_3000,0 -> 88_1 -> 55_3 -> 68_1 -> 0
E3,13,fuel_3000,0 -> 60_5 -> 72_2 -> 0
E3,14,fuel_3000,0 -> 63_6 -> 48_3 -> 0
E3,15,fuel_3000,0 -> 53_3 -> 28_2 -> 0
E3,16,fuel_3000,0 -> 43_4 -> 50_5 -> 0
E3,17,fuel_3000,0 -> 85_1 -> 61_1 -> 75_2 -> 0
E3,18,fuel_3000,0 -> 52_3 -> 31_4 -> 0
E3,19,fuel_3000,0 -> 52_1 -> 26_1 -> 67_2 -> 0
E3,20,ev_3000,0 -> 8_8 -> 8_2 -> 0
E3,21,fuel_3000,0 -> 53_4 -> 78_2 -> 0
E3,22,fuel_3000,0 -> 57_2 -> 50_6 -> 0
E3,23,fuel_3000,0 -> 61_3 -> 63_1 -> 0
E3,24,fuel_3000,0 -> 42_5 -> 52_5 -> 0
E3,25,fuel_3000,0 -> 7_1 -> 55_4 -> 0
E3,26,fuel_3000,0 -> 76_1 -> 70_2 -> 94_1 -> 0
E3,27,fuel_3000,0 -> 49_1 -> 52_4 -> 0
E3,28,ev_3000,0 -> 9_2 -> 39_3 -> 0
E3,29,fuel_3000,0 -> 57_1 -> 51_3 -> 0
E3,30,fuel_3000,0 -> 9_1 -> 45_4 -> 0
E3,31,fuel_1250,0
E3,32,fuel_1250,0
E3,33,fuel_1250,0 -> 3_1 -> 78_1 -> 0
E3,34,ev_3000,0 -> 37_1 -> 46_3 -> 27_2 -> 0
E3,35,ev_3000,0 -> 13_1 -> 69_1 -> 10_1 -> 0
E3,36,ev_3000,0 -> 63_2 -> 84_2 -> 80_1 -> 0
E3,37,fuel_3000,0 -> 42_1 -> 58_2 -> 0
E3,38,fuel_3000,0 -> 48_5 -> 4_1 -> 0
E3,39,ev_1250,0 -> 51_2 -> 0
E3,40,ev_1250,0 -> 71_1 -> 0
E3,41,fuel_3000,0 -> 92_2 -> 92_1 -> 89_1 -> 40_1 -> 0
E3,42,fuel_3000,0 -> 70_4 -> 77_2 -> 34_1 -> 0
E3,43,fuel_3000,0 -> 66_1 -> 79_2 -> 30_1 -> 0
E3,44,fuel_3000,0 -> 91_1 -> 77_1 -> 10_3 -> 0
E3,45,fuel_3000,0 -> 42_4 -> 32_1 -> 61_4 -> 0
E3,46,fuel_3000,0 -> 33_1 -> 27_1 -> 50_4 -> 0
E3,47,fuel_3000,0 -> 60_4 -> 65_5 -> 0
E3,48,fuel_3000,0 -> 41_1 -> 7_5 -> 0
E3,49,fuel_3000,0 -> 48_6 -> 55_6 -> 0
E3,50,fuel_3000,0 -> 44_4 -> 53_5 -> 0
E3,51,fuel_3000,0 -> 62_1 -> 50_2 -> 0
E3,52,fuel_3000,0 -> 60_2 -> 54_1 -> 0
E3,53,fuel_1500,0 -> 48_1 -> 0
E3,54,fuel_1500,0 -> 47_1 -> 0
E3,55,ev_1250,0 -> 35_2 -> 0
E3,56,ev_1250,0 -> 61_5 -> 0
E3,57,ev_3000,0 -> 86_1 -> 59_4 -> 90_1 -> 95_1 -> 19_1 -> 98_1 -> 5_1 -> 0
E3,58,fuel_1500,0 -> 42_2 -> 0
E3,59,ev_3000,0 -> 8_4 -> 52_2 -> 0
E3,60,fuel_3000,0 -> 59_5 -> 93_1 -> 56_3 -> 0
E3,61,ev_1250,0 -> 29_1 -> 0
E3,62,fuel_3000,0 -> 24_1 -> 67_1 -> 0
E3,63,fuel_3000,0 -> 49_2 -> 55_9 -> 0
E3,64,fuel_3000,0 -> 55_1 -> 55_5 -> 0
E3,65,fuel_1500,0 -> 73_2 -> 0
E3,66,ev_1250,0 -> 46_1 -> 0
E3,67,ev_1250,0 -> 97_1 -> 28_1 -> 0
E3,68,fuel_1500,0 -> 8_5 -> 0
E3,69,fuel_1500,0 -> 39_1 -> 0
E3,70,fuel_1500,0 -> 65_2 -> 0
E3,71,fuel_1500,0 -> 40_2 -> 0
E3,72,fuel_1500,0 -> 48_2 -> 0
E3,73,fuel_1500,0 -> 60_6 -> 0
E3,74,ev_1250,0 -> 27_3 -> 0
E3,75,fuel_1500,0 -> 62_6 -> 0
E3,76,ev_3000,0 -> 8_6 -> 70_3 -> 0
E3,77,fuel_1250,0 -> 28_3 -> 0
E3,78,fuel_1500,0 -> 54_4 -> 0
E3,79,fuel_1500,0 -> 43_1 -> 0
E3,80,fuel_3000,0 -> 73_1 -> 8_7 -> 0
E3,81,fuel_3000,0 -> 65_4 -> 72_1 -> 0
E3,82,fuel_1500,0 -> 63_5 -> 0
E3,83,ev_1250,0 -> 69_2 -> 0
E3,84,fuel_1500,0 -> 53_2 -> 0
E3,85,fuel_3000,0 -> 66_2 -> 6_3 -> 0
E3,86,fuel_1250,0 -> 16_1 -> 35_1 -> 0
E3,87,fuel_1250,0 -> 51_1 -> 0
E3,88,fuel_1500,0 -> 6_1 -> 0
E3,89,fuel_1500,0 -> 8_3 -> 0
E3,90,fuel_3000,0 -> 57_4 -> 7_4 -> 0
E3,91,fuel_3000,0 -> 59_3 -> 55_7 -> 0
E3,92,fuel_1500,0 -> 50_3 -> 0
E3,93,ev_1250,0 -> 44_2 -> 0
E3,94,fuel_3000,0 -> 12_2 -> 31_2 -> 0
E3,95,fuel_3000,0 -> 31_1 -> 54_3 -> 0
E3,96,fuel_3000,0 -> 36_1 -> 36_3 -> 55_8 -> 0
E3,97,fuel_3000,0 -> 64_4 -> 64_3 -> 64_1 -> ADDR_36_TO_64 -> 75_1 -> 44_1 -> 0
E3,98,fuel_3000,0
E3,99,fuel_3000,0 -> 87_1 -> 70_1 -> 10_2 -> 0
E3,100,fuel_3000,0 -> 56_2 -> 58_1 -> 0
E3,101,ev_1250,0 -> 44_3 -> 0
E3,102,fuel_1500,0 -> 47_2 -> 0
E3,103,fuel_1500,0 -> 81_1 -> 0
E3,104,fuel_1500,0 -> 57_3 -> 0
E3,105,ev_1250,0 -> 75_3 -> 0
E3,106,fuel_1500,0 -> 7_3 -> 0
E3,107,fuel_1500,0 -> 59_6 -> 0
E3,108,fuel_1500,0 -> 57_5 -> 0
E3,109,fuel_3000,0 -> 83_1 -> 55_2 -> 0
E3,110,fuel_1500,0 -> 60_7 -> 0
E3,111,fuel_3000,0 -> 38_1 -> 82_1 -> 0
E3,112,fuel_3000,0 -> 39_2 -> 31_3 -> 0
E3,113,fuel_1500,0 -> 60_3 -> 0
E3,114,fuel_3000,0 -> 64_2 -> 64_5 -> 0
E3,115,fuel_1500,0 -> 31_5 -> 0
E3,116,ev_1250,0 -> 46_2 -> 0
E3,117,ev_1250,0 -> 71_3 -> 0
E3,118,fuel_1500,0 -> 50_1 -> 0
E3,119,ev_1250,0 -> 79_1 -> 0
E3,120,fuel_1500,0 -> 53_1 -> 0
E3,121,fuel_3000,0 -> 74_1 -> 64_6 -> 0
E3,122,fuel_3000,0 -> 41_2 -> 65_3 -> 0
E3,123,fuel_3000,0 -> 74_3 -> 56_5 -> 0
E3,124,fuel_1250,0 -> 71_2 -> 0
E3,125,fuel_1500,0 -> 56_1 -> 0
E3,126,fuel_1500,0 -> 62_4 -> 0
E3,127,fuel_1500,0 -> 42_3 -> 0
E3,128,fuel_1500,0 -> 25_1 -> 0
E3,129,ev_3000,0 -> 45_3 -> 68_5 -> 0
E3,130,fuel_3000,0 -> 63_3 -> 63_4 -> 0
E3,131,fuel_1500,0 -> 65_1 -> 0
E3,132,fuel_1500,0 -> 7_2 -> 0
E3,133,fuel_1500,0 -> 11_1 -> 0
E3,134,fuel_3000,0 -> 8_1 -> 54_2 -> 0
E3,135,fuel_1500,0 -> 62_3 -> 0
E3,136,fuel_1500,0 -> 61_2 -> 0
E3,137,fuel_1500,0 -> 68_2 -> 0
E3,138,fuel_1500,0 -> 56_4 -> 0
E3,139,fuel_1500,0 -> 25_2 -> 0
E3,140,fuel_1500,0 -> 68_4 -> 0
E3,141,fuel_1500,0 -> 62_2 -> 0
E4,1,fuel_1500,0 -> 6_2 -> 0
E4,2,fuel_1500,0 -> 54_5 -> 0
E4,3,fuel_1500,0 -> 64_1 -> 0
E4,4,fuel_1500,0 -> 59_1 -> 0
E4,5,fuel_1500,0 -> 59_2 -> 0
E4,6,fuel_1500,0 -> 62_5 -> 0
E4,7,fuel_3000,0 -> 45_1 -> 45_2 -> 0
E4,8,fuel_3000,0 -> 43_3 -> 43_2 -> 0
E4,9,fuel_3000,0 -> 48_4 -> 68_3 -> 0
E4,10,fuel_3000,0 -> 60_1 -> 49_3 -> 0
E4,11,fuel_3000,0 -> 74_2 -> 84_1 -> 12_1 -> 2_1 -> 0
E4,12,ev_3000,0 -> 88_1 -> 55_3 -> 68_1 -> 0
E4,13,fuel_3000,0 -> 60_5 -> 72_2 -> 0
E4,14,fuel_3000,0 -> 63_6 -> 48_3 -> 0
E4,15,fuel_3000,0 -> 53_3 -> 28_2 -> 0
E4,16,fuel_3000,0
E4,17,fuel_3000,0 -> 85_1 -> 61_1 -> 75_2 -> 0
E4,18,fuel_3000,0 -> 52_3 -> 31_4 -> 0
E4,19,fuel_3000,0 -> 52_1 -> 26_1 -> 67_2 -> 0
E4,20,ev_3000,0 -> 8_8 -> 8_2 -> 0
E4,21,fuel_3000,0 -> 53_4 -> 78_2 -> 0
E4,22,fuel_3000,0
E4,23,fuel_3000,0 -> 61_3 -> 63_1 -> 0
E4,24,fuel_3000,0 -> 42_5 -> 52_5 -> 0
E4,25,fuel_3000,0 -> 33_1 -> 7_5 -> 7_1 -> 55_4 -> 62_1 -> 0
E4,26,fuel_3000,0 -> 76_1 -> 70_2 -> 94_1 -> 0
E4,27,fuel_3000,0 -> 49_1 -> 52_4 -> 0
E4,28,ev_3000,0 -> 9_2 -> 39_3 -> 0
E4,29,fuel_3000,0 -> 57_1 -> 51_3 -> 0
E4,30,fuel_3000,0 -> 9_1 -> 45_4 -> 0
E4,31,fuel_1250,0 -> 36_1 -> 0
E4,32,fuel_1250,0 -> 36_2 -> 0
E4,33,fuel_1250,0 -> 3_1 -> 78_1 -> 0
