车辆序号,车型,节点,路径位置,是否绿色区,是否燃油车,到达时间_分钟,到达时间_钟表,是否违反限行,审计结论
27,fuel_3000,52_4,2,False,True,,,False,不涉及限行
28,ev_3000,9_2,1,True,False,,,False,不涉及限行
28,ev_3000,39_3,2,False,False,,,False,不涉及限行
29,fuel_3000,57_1,1,False,True,,,False,不涉及限行
29,fuel_3000,51_3,2,False,True,,,False,不涉及限行
30,fuel_3000,9_1,1,True,True,,,False,合规：由 use_policy=True 求解约束保证，当前路径结构未保存逐节点到达时间
30,fuel_3000,45_4,2,False,True,,,False,不涉及限行
31,fuel_1250,36_1,1,False,True,,,False,不涉及限行
32,fuel_1250,36_2,1,False,True,,,False,不涉及限行
33,fuel_1250,3_1,1,True,True,,,False,合规：由 use_policy=True 求解约束保证，当前路径结构未保存逐节点到达时间
33,fuel_1250,78_1,2,False,True,,,False,不涉及限行
34,ev_3000,37_1,1,False,False,,,False,不涉及限行
34,ev_3000,46_3,2,False,False,,,False,不涉及限行
34,ev_3000,27_2,3,False,False,,,False,不涉及限行
35,ev_3000,13_1,1,True,False,,,False,不涉及限行
35,ev_3000,69_1,2,False,False,,,False,不涉及限行
35,ev_3000,10_1,3,True,False,,,False,不涉及限行
36,ev_3000,63_2,1,False,False,,,False,不涉及限行
36,ev_3000,84_2,2,False,False,,,False,不涉及限行
36,ev_3000,80_1,3,False,False,,,False,不涉及限行
37,fuel_3000,42_1,1,False,True,,,False,不涉及限行
37,fuel_3000,58_2,2,False,True,,,False,不涉及限行
38,fuel_3000,48_5,1,False,True,,,False,不涉及限行
38,fuel_3000,4_1,2,True,True,,,False,合规：由 use_policy=True 求解约束保证，当前路径结构未保存逐节点到达时间
39,ev_1250,51_2,1,False,False,,,False,不涉及限行
40,ev_1250,71_1,1,False,False,,,False,不涉及限行
41,fuel_3000,92_2,1,False,True,,,False,不涉及限行
41,fuel_3000,92_1,2,False,True,,,False,不涉及限行
41,fuel_3000,89_1,3,False,True,,,False,不涉及限行
41,fuel_3000,40_1,4,False,True,,,False,不涉及限行
42,fuel_3000,70_4,1,False,True,,,False,不涉及限行
42,fuel_3000,77_2,2,False,True,,,False,不涉及限行
42,fuel_3000,34_1,3,False,True,,,False,不涉及限行
43,fuel_3000,66_1,1,False,True,,,False,不涉及限行
43,fuel_3000,79_2,2,False,True,,,False,不涉及限行
43,fuel_3000,30_1,3,False,True,,,False,不涉及限行
44,fuel_3000,91_1,1,False,True,,,False,不涉及限行
44,fuel_3000,77_1,2,False,True,,,False,不涉及限行
44,fuel_3000,10_3,3,True,True,,,False,合规：由 use_policy=True 求解约束保证，当前路径结构未保存逐节点到达时间
45,fuel_3000,42_4,1,False,True,,,False,不涉及限行
45,fuel_3000,32_1,2,False,True,,,False,不涉及限行
45,fuel_3000,61_4,3,False,True,,,False,不涉及限行
46,fuel_3000,33_1,1,False,True,,,False,不涉及限行
46,fuel_3000,27_1,2,False,True,,,False,不涉及限行
46,fuel_3000,50_4,3,False,True,,,False,不涉及限行
47,fuel_3000,60_4,1,False,True,,,False,不涉及限行
47,fuel_3000,65_5,2,False,True,,,False,不涉及限行
48,fuel_3000,41_1,1,False,True,,,False,不涉及限行
48,fuel_3000,7_5,2,True,True,,,False,合规：由 use_policy=True 求解约束保证，当前路径结构未保存逐节点到达时间
49,fuel_3000,48_6,1,False,True,,,False,不涉及限行
49,fuel_3000,55_6,2,False,True,,,False,不涉及限行
50,fuel_3000,44_4,1,False,True,,,False,不涉及限行
50,fuel_3000,53_5,2,False,True,,,False,不涉及限行
51,fuel_3000,62_1,1,False,True,,,False,不涉及限行
51,fuel_3000,50_2,2,False,True,,,False,不涉及限行
52,fuel_3000,60_2,1,False,True,,,False,不涉及限行
52,fuel_3000,54_1,2,False,True,,,False,不涉及限行
53,fuel_1500,48_1,1,False,True,,,False,不涉及限行
54,fuel_1500,47_1,1,False,True,,,False,不涉及限行
55,ev_1250,35_2,1,False,False,,,False,不涉及限行
56,ev_1250,61_5,1,False,False,,,False,不涉及限行
57,ev_3000,86_1,1,False,False,,,False,不涉及限行
57,ev_3000,59_4,2,False,False,,,False,不涉及限行
57,ev_3000,90_1,3,False,False,,,False,不涉及限行
57,ev_3000,95_1,4,False,False,,,False,不涉及限行
57,ev_3000,19_1,5,False,False,,,False,不涉及限行
57,ev_3000,98_1,6,False,False,,,False,不涉及限行
57,ev_3000,5_1,7,True,False,,,False,不涉及限行
58,fuel_1500,42_2,1,False,True,,,False,不涉及限行
59,ev_3000,8_4,1,True,False,,,False,不涉及限行
59,ev_3000,52_2,2,False,False,,,False,不涉及限行
60,fuel_3000,59_5,1,False,True,,,False,不涉及限行
60,fuel_3000,93_1,2,False,True,,,False,不涉及限行
60,fuel_3000,56_3,3,False,True,,,False,不涉及限行
61,ev_1250,29_1,1,False,False,,,False,不涉及限行
62,fuel_3000,24_1,1,False,True,,,False,不涉及限行
62,fuel_3000,67_1,2,False,True,,,False,不涉及限行
63,fuel_3000,49_2,1,False,True,,,False,不涉及限行
63,fuel_3000,55_9,2,False,True,,,False,不涉及限行
64,fuel_3000,55_1,1,False,True,,,False,不涉及限行
64,fuel_3000,55_5,2,False,True,,,False,不涉及限行
65,fuel_1500,73_2,1,False,True,,,False,不涉及限行
66,ev_1250,46_1,1,False,False,,,False,不涉及限行
67,ev_1250,97_1,1,False,False,,,False,不涉及限行
67,ev_1250,28_1,2,False,False,,,False,不涉及限行
68,fuel_1500,8_5,1,True,True,,,False,合规：由 use_policy=True 求解约束保证，当前路径结构未保存逐节点到达时间
69,fuel_1500,39_1,1,False,True,,,False,不涉及限行
70,fuel_1500,65_2,1,False,True,,,False,不涉及限行
71,fuel_1500,40_2,1,False,True,,,False,不涉及限行
72,fuel_1500,48_2,1,False,True,,,False,不涉及限行
73,fuel_1500,60_6,1,False,True,,,False,不涉及限行
74,ev_1250,27_3,1,False,False,,,False,不涉及限行
75,fuel_1500,62_6,1,False,True,,,False,不涉及限行
76,ev_3000,8_6,1,True,False,,,False,不涉及限行
76,ev_3000,70_3,2,False,False,,,False,不涉及限行
77,fuel_1250,28_3,1,False,True,,,False,不涉及限行
78,fuel_1500,54_4,1,False,True,,,False,不涉及限行
79,fuel_1500,43_1,1,False,True,,,False,不涉及限行
80,fuel_3000,73_1,1,False,True,,,False,不涉及限行
80,fuel_3000,8_7,2,True,True,,,False,合规：由 use_policy=True 求解约束保证，当前路径结构未保存逐节点到达时间
81,fuel_3000,65_4,1,False,True,,,False,不涉及限行
81,fuel_3000,72_1,2,False,True,,,False,不涉及限行
82,fuel_1500,63_5,1,False,True,,,False,不涉及限行
83,ev_1250,69_2,1,False,False,,,False,不涉及限行
84,fuel_1500,53_2,1,False,True,,,False,不涉及限行
85,fuel_3000,66_2,1,False,True,,,False,不涉及限行
85,fuel_3000,6_3,2,True,True,,,False,合规：由 use_policy=True 求解约束保证，当前路径结构未保存逐节点到达时间
86,fuel_1250,16_1,1,False,True,,,False,不涉及限行
86,fuel_1250,35_1,2,False,True,,,False,不涉及限行
87,fuel_1250,51_1,1,False,True,,,False,不涉及限行
88,fuel_1500,6_1,1,True,True,,,False,合规：由 use_policy=True 求解约束保证，当前路径结构未保存逐节点到达时间
89,fuel_1500,8_3,1,True,True,,,False,合规：由 use_policy=True 求解约束保证，当前路径结构未保存逐节点到达时间
90,fuel_3000,57_4,1,False,True,,,False,不涉及限行
90,fuel_3000,7_4,2,True,True,,,False,合规：由 use_policy=True 求解约束保证，当前路径结构未保存逐节点到达时间
91,fuel_3000,59_3,1,False,True,,,False,不涉及限行
91,fuel_3000,55_7,2,False,True,,,False,不涉及限行
92,fuel_1500,50_3,1,False,True,,,False,不涉及限行
93,ev_1250,44_2,1,False,False,,,False,不涉及限行
94,fuel_3000,12_2,1,True,True,,,False,合规：由 use_policy=True 求解约束保证，当前路径结构未保存逐节点到达时间
94,fuel_3000,31_2,2,False,True,,,False,不涉及限行
95,fuel_3000,31_1,1,False,True,,,False,不涉及限行
95,fuel_3000,54_3,2,False,True,,,False,不涉及限行
96,fuel_3000,36_3,1,False,True,,,False,不涉及限行
96,fuel_3000,55_8,2,False,True,,,False,不涉及限行
97,fuel_3000,64_4,1,False,True,,,False,不涉及限行
97,fuel_3000,44_1,2,False,True,,,False,不涉及限行
98,fuel_3000,64_3,1,False,True,,,False,不涉及限行
98,fuel_3000,75_1,2,False,True,,,False,不涉及限行
99,fuel_3000,87_1,1,False,True,,,False,不涉及限行
99,fuel_3000,70_1,2,False,True,,,False,不涉及限行
99,fuel_3000,10_2,3,True,True,,,False,合规：由 use_policy=True 求解约束保证，当前路径结构未保存逐节点到达时间
100,fuel_3000,56_2,1,False,True,,,False,不涉及限行
100,fuel_3000,58_1,2,False,True,,,False,不涉及限行
101,ev_1250,44_3,1,False,False,,,False,不涉及限行
102,fuel_1500,47_2,1,False,True,,,False,不涉及限行
103,fuel_1500,81_1,1,False,True,,,False,不涉及限行
104,fuel_1500,57_3,1,False,True,,,False,不涉及限行
105,ev_1250,75_3,1,False,False,,,False,不涉及限行
106,fuel_1500,7_3,1,True,True,,,False,合规：由 use_policy=True 求解约束保证，当前路径结构未保存逐节点到达时间
107,fuel_1500,59_6,1,False,True,,,False,不涉及限行
108,fuel_1500,57_5,1,False,True,,,False,不涉及限行
109,fuel_3000,83_1,1,False,True,,,False,不涉及限行
109,fuel_3000,55_2,2,False,True,,,False,不涉及限行
110,fuel_1500,60_7,1,False,True,,,False,不涉及限行
111,fuel_3000,38_1,1,False,True,,,False,不涉及限行
111,fuel_3000,82_1,2,False,True,,,False,不涉及限行
112,fuel_3000,39_2,1,False,True,,,False,不涉及限行
112,fuel_3000,31_3,2,False,True,,,False,不涉及限行
113,fuel_1500,60_3,1,False,True,,,False,不涉及限行
114,fuel_3000,64_2,1,False,True,,,False,不涉及限行
114,fuel_3000,64_5,2,False,True,,,False,不涉及限行
115,fuel_1500,31_5,1,False,True,,,False,不涉及限行
116,ev_1250,46_2,1,False,False,,,False,不涉及限行
117,ev_1250,71_3,1,False,False,,,False,不涉及限行
118,fuel_1500,50_1,1,False,True,,,False,不涉及限行
119,ev_1250,79_1,1,False,False,,,False,不涉及限行
120,fuel_1500,53_1,1,False,True,,,False,不涉及限行
121,fuel_3000,74_1,1,False,True,,,False,不涉及限行
121,fuel_3000,64_6,2,False,True,,,False,不涉及限行
122,fuel_3000,41_2,1,False,True,,,False,不涉及限行
122,fuel_3000,65_3,2,False,True,,,False,不涉及限行
123,fuel_3000,74_3,1,False,True,,,False,不涉及限行
123,fuel_3000,56_5,2,False,True,,,False,不涉及限行
124,fuel_1250,71_2,1,False,True,,,False,不涉及限行
125,fuel_1500,56_1,1,False,True,,,False,不涉及限行
126,fuel_1500,62_4,1,False,True,,,False,不涉及限行
127,fuel_1500,42_3,1,False,True,,,False,不涉及限行
128,fuel_1500,25_1,1,False,True,,,False,不涉及限行
129,ev_3000,45_3,1,False,False,,,False,不涉及限行
129,ev_3000,68_5,2,False,False,,,False,不涉及限行
130,fuel_3000,63_3,1,False,True,,,False,不涉及限行
130,fuel_3000,63_4,2,False,True,,,False,不涉及限行
131,fuel_1500,65_1,1,False,True,,,False,不涉及限行
132,fuel_1500,7_2,1,True,True,,,False,合规：由 use_policy=True 求解约束保证，当前路径结构未保存逐节点到达时间
133,fuel_1500,11_1,1,True,True,,,False,合规：由 use_policy=True 求解约束保证，当前路径结构未保存逐节点到达时间
134,fuel_3000,8_1,1,True,True,,,False,合规：由 use_policy=True 求解约束保证，当前路径结构未保存逐节点到达时间
134,fuel_3000,54_2,2,False,True,,,False,不涉及限行
135,fuel_1500,62_3,1,False,True,,,False,不涉及限行
136,fuel_1500,61_2,1,False,True,,,False,不涉及限行
137,fuel_1500,68_2,1,False,True,,,False,不涉及限行
138,fuel_1500,56_4,1,False,True,,,False,不涉及限行
139,fuel_1500,25_2,1,False,True,,,False,不涉及限行
140,fuel_1500,68_4,1,False,True,,,False,不涉及限行
141,fuel_1500,62_2,1,False,True,,,False,不涉及限行
